Documento 1,Documento 2,Similitud (%)
documento4.txt,doc_generado_40.txt,1.00
documento4.txt,doc_generado_11.txt,1.00
documento3.txt,doc_generado_80.txt,1.00
documento3.txt,doc_generado_74.txt,1.00
documento3.txt,doc_generado_39.txt,1.00
documento3.txt,doc_generado_37.txt,1.00
documento3.txt,doc_generado_10.txt,1.00
documento2.txt,doc_generado_87.txt,1.00
documento2.txt,doc_generado_76.txt,1.00
documento2.txt,doc_generado_71.txt,1.00
documento2.txt,doc_generado_70.txt,1.00
documento2.txt,doc_generado_69.txt,1.00
documento2.txt,doc_generado_66.txt,1.00
documento2.txt,doc_generado_49.txt,1.00
documento2.txt,doc_generado_43.txt,1.00
documento2.txt,doc_generado_41.txt,1.00
documento2.txt,doc_generado_3.txt,1.00
documento2.txt,doc_generado_29.txt,1.00
documento2.txt,doc_generado_28.txt,1.00
documento1.txt,doc_generado_97.txt,1.00
documento1.txt,doc_generado_93.txt,1.00
documento1.txt,doc_generado_57.txt,1.00
documento1.txt,doc_generado_42.txt,1.00
documento1.txt,doc_generado_31.txt,1.00
documento1.txt,doc_generado_24.txt,1.00
doc_generado_80.txt,doc_generado_89.txt,0.99
doc_generado_74.txt,doc_generado_89.txt,0.99
doc_generado_39.txt,doc_generado_89.txt,0.99
doc_generado_37.txt,doc_generado_89.txt,0.99
doc_generado_10.txt,doc_generado_89.txt,0.99
documento3.txt,doc_generado_89.txt,0.99
doc_generado_35.txt,doc_generado_87.txt,0.99
doc_generado_35.txt,doc_generado_76.txt,0.99
doc_generado_35.txt,doc_generado_71.txt,0.99
doc_generado_35.txt,doc_generado_70.txt,0.99
doc_generado_35.txt,doc_generado_69.txt,0.99
doc_generado_35.txt,doc_generado_66.txt,0.99
doc_generado_35.txt,doc_generado_49.txt,0.99
doc_generado_35.txt,doc_generado_43.txt,0.99
doc_generado_35.txt,doc_generado_41.txt,0.99
doc_generado_3.txt,doc_generado_35.txt,0.99
doc_generado_29.txt,doc_generado_35.txt,0.99
doc_generado_28.txt,doc_generado_35.txt,0.99
documento2.txt,doc_generado_35.txt,0.99
doc_generado_68.txt,doc_generado_82.txt,0.99
doc_generado_68.txt,doc_generado_7.txt,0.99
doc_generado_65.txt,doc_generado_68.txt,0.99
doc_generado_58.txt,doc_generado_82.txt,0.99
doc_generado_58.txt,doc_generado_7.txt,0.99
doc_generado_58.txt,doc_generado_65.txt,0.99
doc_generado_34.txt,doc_generado_68.txt,0.99
doc_generado_34.txt,doc_generado_58.txt,0.99
doc_generado_15.txt,doc_generado_68.txt,0.99
doc_generado_15.txt,doc_generado_58.txt,0.99
doc_generado_100.txt,doc_generado_68.txt,0.99
doc_generado_100.txt,doc_generado_58.txt,0.99
documento6.txt,doc_generado_68.txt,0.99
documento6.txt,doc_generado_58.txt,0.99
doc_generado_73.txt,doc_generado_95.txt,0.98
doc_generado_73.txt,doc_generado_8.txt,0.98
doc_generado_72.txt,doc_generado_73.txt,0.98
doc_generado_62.txt,doc_generado_73.txt,0.98
doc_generado_6.txt,doc_generado_73.txt,0.98
doc_generado_54.txt,doc_generado_73.txt,0.98
